"TOA5","Clear Lake Outflow","CR800","47844","CR800.Std.32.05","CPU:Clear_Outflow_Rain_Gauge.CR8","727","Clear_Outflow_Min_15"
"TIMESTAMP","RECORD","BattV_Min","BattV_TMn","PTemp_C_Avg","Lvl_ft_Avg","Temp_C_Avg","Rain_in_Tot"
"TS","RN","Volts","","Deg C","feet","deg C","inch"
"","","Min","TMn","Avg","Avg","Avg","Tot"
2025-09-27T02:30:00Z,123031,9.87,2025-09-27T02:20:45Z,14.59,0.244,20.98,0
2025-09-27T02:45:00Z,123032,9.9,2025-09-27T02:30:40Z,14.43,0.244,20.91,0
2025-09-27T03:00:00Z,123033,9.9,2025-09-27T02:51:00Z,14.27,0.244,20.84,0
2025-09-27T03:15:00Z,123034,9.89,2025-09-27T03:14:40Z,14.13,0.244,20.76,0
2025-09-27T03:30:00Z,123035,9.88,2025-09-27T03:26:00Z,14,0.244,20.68,0
2025-09-27T03:45:00Z,123036,9.88,2025-09-27T03:40:45Z,13.9,0.244,20.6,0
2025-09-27T04:00:00Z,123037,9.88,2025-09-27T04:00:00Z,13.83,0.244,20.54,0
2025-09-27T04:15:00Z,123038,9.88,2025-09-27T04:04:45Z,13.8,0.244,20.47,0
2025-09-27T04:30:00Z,123039,9.87,2025-09-27T04:24:35Z,13.8,0.245,20.4,0
2025-09-27T04:45:00Z,123040,9.87,2025-09-27T04:44:20Z,13.86,0.244,20.34,0
2025-09-27T05:00:00Z,123041,9.87,2025-09-27T04:45:05Z,13.91,0.244,20.27,0
2025-09-27T05:15:00Z,123042,9.86,2025-09-27T05:07:20Z,13.98,0.244,20.21,0
2025-09-27T05:30:00Z,123043,9.86,2025-09-27T05:28:30Z,13.97,0.244,20.14,0
2025-09-27T05:45:00Z,123044,9.86,2025-09-27T05:44:30Z,13.92,0.244,20.09,0
2025-09-27T06:00:00Z,123045,9.86,2025-09-27T05:46:50Z,13.85,0.244,20.02,0
2025-09-27T06:15:00Z,123046,9.85,2025-09-27T06:08:20Z,13.79,0.244,19.96,0
2025-09-27T06:30:00Z,123047,9.85,2025-09-27T06:17:25Z,13.77,0.245,19.9,0
2025-09-27T06:45:00Z,123048,9.85,2025-09-27T06:35:10Z,13.73,0.244,19.84,0
2025-09-27T07:00:00Z,123049,9.85,2025-09-27T06:47:00Z,13.68,0.244,19.77,0
2025-09-27T07:15:00Z,123050,9.85,2025-09-27T07:13:35Z,13.65,0.244,19.72,0
2025-09-27T07:30:00Z,123051,9.84,2025-09-27T07:28:00Z,13.61,0.244,19.66,0
2025-09-27T07:45:00Z,123052,9.84,2025-09-27T07:30:05Z,13.58,0.244,19.6,0
2025-09-27T08:00:00Z,123053,9.85,2025-09-27T07:45:35Z,13.56,0.243,19.53,0
2025-09-27T08:15:00Z,123054,9.86,2025-09-27T08:00:05Z,13.58,0.244,19.49,0
2025-09-27T08:30:00Z,123055,9.86,2025-09-27T08:15:05Z,13.66,0.244,19.45,0
2025-09-27T08:45:00Z,123056,9.87,2025-09-27T08:37:10Z,13.81,0.244,19.4,0
2025-09-27T09:00:00Z,123057,9.85,2025-09-27T08:50:30Z,14.36,0.244,19.36,0
2025-09-27T09:15:00Z,123058,9.85,2025-09-27T09:04:50Z,15.4,0.244,19.36,0
2025-09-27T09:30:00Z,123059,9.85,2025-09-27T09:16:45Z,16.67,0.244,19.37,0
2025-09-27T09:45:00Z,123060,9.91,2025-09-27T09:31:50Z,17.9,0.246,19.4,0
2025-09-27T10:00:00Z,123061,10.21,2025-09-27T09:45:05Z,19.1,0.246,19.48,0
2025-09-27T10:15:00Z,123062,10.37,2025-09-27T10:02:10Z,20.31,0.245,19.62,0
2025-09-27T10:30:00Z,123063,10.28,2025-09-27T10:21:50Z,21.5,0.246,19.77,0
2025-09-27T10:45:00Z,123064,10.32,2025-09-27T10:42:05Z,22.56,0.246,19.92,0
2025-09-27T11:00:00Z,123065,10.25,2025-09-27T10:57:10Z,23.46,0.248,20.12,0.01
2025-09-27T11:15:00Z,123066,10.32,2025-09-27T11:00:05Z,23.89,0.248,20.36,0
2025-09-27T11:30:00Z,123067,12.42,2025-09-27T11:30:00Z,24.19,0.248,20.64,0
